Year,Hourly Minimum Wage in NJ,"Average Price of Large Grade A Eggs, oz.",# of Eggs You Can Afford Per Hour
1980,3.1,0.916,40
1981,3.35,0.984,40
1982,3.35,0.96,41
1983,3.35,0.975,41
1984,3.35,1.107,36
1985,3.35,0.902,44
1986,3.35,0.988,40
1987,3.35,0.912,44
1988,3.35,0.916,43
1989,3.35,1.141,35
1990,3.35,1.19,33
1991,3.8,1.185,38
1992,4.25,1.054,48
1993,4.25,1.111,45
1994,5.05,1.094,55
1995,5.05,1.15,52
1996,5.05,1.252,48
1997,5.05,1.252,48
1998,5.05,1.162,52
1999,5.05,1.115,54
2000,5.15,0.871,70
2001,5.15,0.815,75
2002,5.15,1.16,53
2003,5.15,1.586,38
2004,5.15,1.756,35
2005,5.15,1.605,38
2006,6.15,1.626,45
2007,7.15,1.676,51
2008,7.15,1.987,43
2009,7.15,1.664,51
2010,7.25,1.66,52
2011,7.25,1.77,49
2012,7.25,1.838,47
2013,7.25,1.91,45
2014,8.25,2.019,49
2015,8.38,2.469,40
2016,8.38,1.863,53
2017,8.44,1.996,50
2018,8.6,2.294,44
2019,10,1.979,60
2020,11,2.008,65
2021,12,1.95,73
2022,13,3.176,49
2023,14.13,3.218,52
2024,15.13,3.413,53
